SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.20.144,1.1.1.1,60448,443,2020-03-28 18:09:32,120.454322,18004,149.4674470875358046513266664,42142,349.8587622285566473903692721,41321.21581787431,203.27620573464645,155.81865284974094,87.0,56,1.0156425234477624,0.49104937043169056,1.304569138655497,445.4033493528051613466133326,21.10458124087765834641699454,28.97626362694300518134715026,29.176903,0.0,-0.02852073264572166402796172944,1.3729845333684525,0.7283403240869875721574132062,0.01803442697633150704945576738,0.1342923191263428403283930709,0.05384273504273504273504273504,0.015031,2.1e-05,0.8670280317272825114619342393,0.40078044219416076,2.494158571620755654076765080,True
192.168.20.144,1.1.1.1,60450,443,2020-03-28 18:10:33,120.129707,14320,119.2044861975730948881778260,42151,350.8790710694066705748312530,54486.83069463496,233.42414334133255,174.29320987654322,87.0,56,1.121904640543918,0.5067736703806378,1.33926125697423,431.2499400648014680212620022,20.76655821422513596448802741,29.38431206481481481481481481,28.2721525,0.0,0.1606659447379657518636844632,1.41498228843172,0.7067226269724824515825699024,0.03084481075377380952380952381,0.1756269078295629776012475981,0.1031145,0.0150505,0.014999,1.504279744288300973056216924,0.5017198166781575,1.703222222185657473985206718,True
1.1.1.1,192.168.20.144,443,60448,2020-03-28 18:11:32,120.816640,496,4.105394753570369114717972624,448,3.708098487095817264906555918,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.6034915748245625,35.42038243123335565011400745,60.40820475,60.408170,0.0,0.000002943220621696996234738224085,1.7054644982244072,0.5863505227116247921622601680,2.683075E-8,0.0001638009462732129640000817709,15.088896,15.088953,15.088633,-1.043950013052911932913317102,1.6056073300191658,0.00001085572770023817275962945009,True
192.168.20.144,1.1.1.1,60452,443,2020-03-28 18:11:33,105.072198,14206,135.2022730123148275626631509,44586,424.3367974466471140158312858,76156.21187500001,275.9641496191127,183.725,87.0,62,1.0514952771963357,0.4410899030472094,1.502050072766976,403.1745452064730755859375,20.07920678728303439317673360,29.39149684375,28.693169,0.0,0.1043359707105978385102937628,1.4637777854035954,0.6831638039405539213905397135,0.02903987466326487209994051159,0.1704108994849357401276834985,0.09891140243902439024390243902,0.015058,0.014987,1.476197872773454840605001636,0.49248259760780905,1.722864050886230494581569596,True
1.1.1.1,192.168.20.144,443,60450,2020-03-28 18:12:33,120.817078,496,4.105379870220003168757317571,448,3.708085044069680281458222322,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.59450157052921484375,35.42025552661258279370006855,60.4094103125,60.4085255,0.0,0.00007494122954606073702782231006,1.70550464457017,0.5863367204444201268447875738,0.000009047924609375,0.003007976829926553805933838536,15.088335875,15.0889755,15.081467,-0.6379287835295105784559845632,2.2835531616006652,0.0001993577591887053485899311302,True
192.168.20.144,1.1.1.1,60454,443,2020-03-28 18:12:33,108.051421,9033,83.59908566126122487551551960,31774,294.0636939888092725777294498,145264.10798611952,381.1352882981573,201.01970443349754,87.0,62,0.8974742664943272,0.36475159530424844,1.8960095945432385,311.0496166137289478026644667,17.63659878246735383852103007,18.82636808866995073891625616,16.545406,0.0,0.3879935326766295516179878672,1.0674602467787244,0.9368030360078521137819887196,0.04198133519976442307692307692,0.2048934728090780911319510447,0.08936075,0.015039,0.015005,1.088200843800238489442575405,0.36289955448842176,2.292879959144009994678324037,True
1.1.1.1,192.168.20.144,443,60448,2020-03-28 18:13:33,120.817064,496,4.105380345941861325151884174,448,3.708085473753939261427508286,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.5674902542555625,35.41987422696833296167817865,60.40918525,60.4086265,0.0,0.00004732512569803876527381958188,1.7055166504234807,0.5863325929721644931749543609,0.0000043067351875,0.002075267497818052370414682575,15.08875075,15.0889215,15.085035,-0.2468356491577989148757990937,1.7904920709778906,0.0001375373967137771409216685864,True
192.168.20.144,1.1.1.1,60452,443,2020-03-28 18:13:33,105.742985,448,4.236687663016132937801973341,496,4.690618484053575752566470485,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1197.670704313132359375,34.60737933321638209501278186,52.871667875,52.8715235,0.0,0.00001251539435649447974770261630,1.527757053370795,0.6545543336184452095840523332,6.492111875E-7,0.0008057364255760068341630553236,0.01531225,0.0150215,0.014947,1.082550040326703336576012110,0.453312011727518,0.05262038077852744267910041461,True
1.1.1.1,192.168.20.144,443,60450,2020-03-28 18:14:34,120.821021,496,4.105245890944755383254044840,448,3.707964030530746797777846953,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.84129685478568359375,35.42373917099641365291756070,60.4110670625,60.4085785,0.0,0.0002107537960338364257504124608,1.7053836911706444,0.5863783060535542192057362933,0.000113429304109375,0.01065031943696408572655841506,15.084953875,15.0889725,15.056776,-1.131973089760824419023872891,2.645730502899639,0.0007060226716778135144651488078,True
192.168.20.144,1.1.1.1,60454,443,2020-03-28 18:14:37,105.743013,448,4.236686541171282872372853609,496,4.690617242011063180127087924,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1197.687973656301734375,34.60762883608615180640156496,52.871560125,52.8715185,0.0,0.000003608308462606661830990644365,1.5277429255676032,0.6545603866098542104709940212,2.35661875E-8,0.0001535128251971150454730595273,0.01507925,0.0150405,0.014959,0.7572657193347300676549047249,0.7833221741935631,0.01018040188982310429716726809,True
